"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Tinham banheiro - de uso exclusivo do domicílio - rede geral de esgoto ou pluvial ou fossa séptica"
"1701101";"Aparecida do Rio Negro (TO)";"Total";"Total";"2,16"
"1701309";"Aragominas (TO)";"Total";"Total";"13,01"
"1701903";"Araguacema (TO)";"Total";"Total";"21,77"
"1702000";"Araguaçu (TO)";"Total";"Total";"2,19"
"1702109";"Araguaína (TO)";"Total";"Total";"15,80"
"1702158";"Araguanã (TO)";"Total";"Total";"39,63"
"1702208";"Araguatins (TO)";"Total";"Total";"1,80"
"1702307";"Arapoema (TO)";"Total";"Total";"11,65"
"1702406";"Arraias (TO)";"Total";"Total";"25,67"
"1702554";"Augustinópolis (TO)";"Total";"Total";"9,54"
"1702703";"Aurora do Tocantins (TO)";"Total";"Total";"2,26"
"1702901";"Axixá do Tocantins (TO)";"Total";"Total";"27,98"
"1703008";"Babaçulândia (TO)";"Total";"Total";"21,35"
"1703057";"Bandeirantes do Tocantins (TO)";"Total";"Total";"2,19"
"1703073";"Barra do Ouro (TO)";"Total";"Total";"13,61"
"1703107";"Barrolândia (TO)";"Total";"Total";"23,41"
"1703206";"Bernardo Sayão (TO)";"Total";"Total";"14,14"
"1703305";"Bom Jesus do Tocantins (TO)";"Total";"Total";"27,52"
"1703602";"Brasilândia do Tocantins (TO)";"Total";"Total";"5,08"
"1703701";"Brejinho de Nazaré (TO)";"Total";"Total";"9,95"
"1703800";"Buriti do Tocantins (TO)";"Total";"Total";"20,38"
"1703826";"Cachoeirinha (TO)";"Total";"Total";"17,32"
"1703842";"Campos Lindos (TO)";"Total";"Total";"6,64"
"1703867";"Cariri do Tocantins (TO)";"Total";"Total";"24,39"
"1703883";"Carmolândia (TO)";"Total";"Total";"50,90"
"1703891";"Carrasco Bonito (TO)";"Total";"Total";"32,20"
"1703909";"Caseara (TO)";"Total";"Total";"6,41"
"1704105";"Centenário (TO)";"Total";"Total";"26,07"
"1704600";"Chapada de Areia (TO)";"Total";"Total";"2,86"
"1705102";"Chapada da Natividade (TO)";"Total";"Total";"44,23"
"1705508";"Colinas do Tocantins (TO)";"Total";"Total";"30,84"
"1705557";"Combinado (TO)";"Total";"Total";"11,34"
"1705607";"Conceição do Tocantins (TO)";"Total";"Total";"7,94"
"1706001";"Couto Magalhães (TO)";"Total";"Total";"31,46"
"1706100";"Cristalândia (TO)";"Total";"Total";"6,53"
"1706258";"Crixás do Tocantins (TO)";"Total";"Total";"30,61"
"1706506";"Darcinópolis (TO)";"Total";"Total";"45,05"
"1707009";"Dianópolis (TO)";"Total";"Total";"15,10"
"1707108";"Divinópolis do Tocantins (TO)";"Total";"Total";"6,53"
"1707207";"Dois Irmãos do Tocantins (TO)";"Total";"Total";"16,22"
"1707306";"Dueré (TO)";"Total";"Total";"14,38"
"1707405";"Esperantina (TO)";"Total";"Total";"17,98"
"1707553";"Fátima (TO)";"Total";"Total";"54,31"
"1707652";"Figueirópolis (TO)";"Total";"Total";"55,65"
"1707702";"Filadélfia (TO)";"Total";"Total";"8,06"
"1708205";"Formoso do Araguaia (TO)";"Total";"Total";"17,99"
"1708254";"Tabocão (TO)";"Total";"Total";"2,33"
"1708304";"Goianorte (TO)";"Total";"Total";"9,70"
"1709005";"Goiatins (TO)";"Total";"Total";"8,06"
"1709302";"Guaraí (TO)";"Total";"Total";"23,42"
"1709500";"Gurupi (TO)";"Total";"Total";"42,36"
"1709807";"Ipueiras (TO)";"Total";"Total";"81,66"
"1710508";"Itacajá (TO)";"Total";"Total";"39,31"
"1710706";"Itaguatins (TO)";"Total";"Total";"22,53"
"1710904";"Itapiratins (TO)";"Total";"Total";"0,19"
"1711100";"Itaporã do Tocantins (TO)";"Total";"Total";"2,55"
"1711506";"Jaú do Tocantins (TO)";"Total";"Total";"0,70"
"1711803";"Juarina (TO)";"Total";"Total";"18,73"
"1711902";"Lagoa da Confusão (TO)";"Total";"Total";"5,75"
