"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1703800";"Buriti do Tocantins (TO)";"Coletado";"Total";"57,54"
"1703826";"Cachoeirinha (TO)";"Coletado";"Total";"33,75"
"1703842";"Campos Lindos (TO)";"Coletado";"Total";"51,91"
"1703867";"Cariri do Tocantins (TO)";"Coletado";"Total";"59,03"
"1703883";"Carmolândia (TO)";"Coletado";"Total";"77,41"
"1703891";"Carrasco Bonito (TO)";"Coletado";"Total";"74,52"
"1703909";"Caseara (TO)";"Coletado";"Total";"56,45"
"1704105";"Centenário (TO)";"Coletado";"Total";"56,41"
"1704600";"Chapada de Areia (TO)";"Coletado";"Total";"52,64"
"1705102";"Chapada da Natividade (TO)";"Coletado";"Total";"46,93"
"1705508";"Colinas do Tocantins (TO)";"Coletado";"Total";"93,52"
"1705557";"Combinado (TO)";"Coletado";"Total";"66,46"
"1705607";"Conceição do Tocantins (TO)";"Coletado";"Total";"61,23"
"1706001";"Couto Magalhães (TO)";"Coletado";"Total";"44,26"
"1706100";"Cristalândia (TO)";"Coletado";"Total";"80,88"
"1706258";"Crixás do Tocantins (TO)";"Coletado";"Total";"54,69"
"1706506";"Darcinópolis (TO)";"Coletado";"Total";"62,09"
"1707009";"Dianópolis (TO)";"Coletado";"Total";"84,46"
"1707108";"Divinópolis do Tocantins (TO)";"Coletado";"Total";"67,28"
"1707207";"Dois Irmãos do Tocantins (TO)";"Coletado";"Total";"39,56"
"1707306";"Dueré (TO)";"Coletado";"Total";"61,20"
"1707405";"Esperantina (TO)";"Coletado";"Total";"40,10"
"1707553";"Fátima (TO)";"Coletado";"Total";"80,32"
"1707652";"Figueirópolis (TO)";"Coletado";"Total";"72,26"
